recinto,registros,funciones,aforo_max
VIA 40 (29-31),9,9,1394
VIA 40 (3-4),9,9,1201
VIA 40 (32-33),9,9,1201
VIA 40 (25-26),9,9,1201
VIA 40 (21-22),9,9,1201
VIA 40 (19-20),9,9,1201
VIA 40 (14),9,9,601
VIA 40 (23-24),9,9,1201
VIA 40 (12-13),9,9,1441
VIA 40 (17-18),9,9,1215
PATIO CENTRAL DEL CENTRO CULTURAL DEL ORIENTE,9,1,980
CASA AMARILLA - CENTRO DE EVENTOS,9,1,2520
PARQUE DE EVENTOS - LA INDEPENDENCIA,9,1,25860
JARDIN BOTANICO - MOR PRIDE,9,3,11100
"FENIX BEACH CLUB, TIERRA  BOMBA",9,4,400
VIA 40 MINI PALCOS,9,9,5549
VIA 40 TRONCO DE PALCO,9,9,1561
VIA 40 GARABATO,9,9,1201
VIA 40 CUMBIA,9,9,1201
VIA 40 (9),9,9,319
VIA 40 - (41),9,9,1201
VIA 40 (10-11),9,9,1441
ASDESILLA RIONEGRO,9,3,3588
AUDITORIO LUIS A CALVO,8,4,989
CENTRO DE CONVENCIONES G12,8,8,10000
CIUDAD DEL RIO - DETRAS DEL MUSEO DE ARTE MODERNO,8,8,2000
TEATRO MALDONADO,8,4,985
PABELLON DE CRISTAL - GRAN MALECON,8,8,1000
CANTINA LA 70 - CRA 70 #44B - 76 (MEDELLIN),8,8,150
"PEQUEO TEATRO DE MEDELLIN, SALA RODRIGO SALDARRIAGA",8,4,390
TEATRO ZULIMA,8,6,704
HOTEL DANN CARLTON MEDELLIN,8,8,350
COLISEO BICENTENARIO - BUCARAMANGA,8,8,6000
AVCHILACOS - PARQUE DEL CONSEJO,8,2,504
CENTRO CULTURAL METROPOLITANO DE CONVENCIONES - ARMENIA,8,3,1512
ESTACION DE SERVICIO SAN DIEGO,7,7,180
CITY HALL EL RODEO,7,2,50000
CASA DEL TEATRO NACIONAL,7,7,150
HOTEL TEQUENDAMA - SUITES TEQUENDAMA,6,6,1000
JARDIN BOTANICO ORQUIDEORAMA - ANOTR,6,1,15000
TEATRO SARMIENTO - CLL 27 # 23- 32 CENTRO TULUA,6,1,1177
TEATRO SANTA MARTA - CL 16 #5 - 10,6,4,804
LA SINAGOGA DEL TEATRO NACIONAL,6,6,60
TRANSPORTE LEGACY TOUR,6,2,900
ITO RESTOBAR,6,1,1151
CENTRO DE DANZA - LA LICORERA,6,6,450
IGLESIA DE SAN IGNACIO - BOGOTA,6,2,740
INDIGO - MOVISTAR ARENA,6,6,50
CLUB SOCIAL VALLEDUPAR,6,6,1600
TEATRO EL GALPON UNIVERSIDAD DE CALDAS,6,6,100
COLISEO LAS BETHLEMITAS - CARRERA 13 #24-12,6,2,1700
FINCA LA BENDICION - SANTA ELENA,6,3,360
"SAFARI DISCO CLUB, AV SANTANDER #63 - 122, MANIZALES",6,2,754
CALLE 13 BAR -  BOGOTA,6,1,760
FONDA TUTAINA -  POBLADO CALLE 10 # 43E – 72,6,6,100
ROYAL HOUSE,6,5,1200
CENTRO DE CONVENCIONES ''JULIO VILLAZON BAQUERO'',6,1,1209
BEETHOVEN-BELLAS ARTES - CALI,6,1,653
COUNTRY CLUB BARRANQUILLA,6,1,2480
CENTRO COMERCIAL PASEO VILLA DEL RIO,5,1,2495
AUDITORIO TEATRO COMPENSAR AV 68,5,5,250
CITY HALL EL RODEO - DRUMCODE,5,1,3654
ESTADIO DE FUTBOL - INMACULADA CONCEPCION,5,1,5874
CATEDRAL DE BARRANQUILLA,5,3,1589
AUDITORIO CASA DE LA CULTURA - CRA 2 NO 2-40 (SOPO),5,5,180
PLAZA DE TOROS DE MANIZALES,5,1,8700
ESTADIO MUNICIPAL DE VILLETA,5,1,194
ALUNA BEACH - SANTA MARTA,5,1,5150
BUTACO BAR,5,5,50
TEATRO CRUZ ROJA - ARMENIA,5,5,493
EL SOL CENTRO DE EVENTOS,5,1,761
TEATRO JUAN PABLO GONZALEZ POMBO - BOGOTA,5,1,535
TEATRO EL ENSUEO,5,3,719
COLISEO MAYOR DE IBAGUE,5,1,7151
DOUBLE TREE BY HILTON SALITRE,5,5,300
SALON ESPEJOS TEATRO JORGE ELIECER GAITAN,5,5,25
DISCO MOVISTAR ARENA,5,4,1000
AUDITORIO SAN AGUSTIN - BOGOTA,4,2,1025
CENTRO DE EVENTOS AUTOPISTA SUR - BOGOTA,4,1,917
TEATRO MUSEO DEL ARTE - PEREIRA,4,4,330
VITA CENTRO DE EVENTOS,4,4,300
ARENA LAS MEJORES PRODUCCIONES,4,1,2140
CLUB BELLAVISTA COLSUBSIDIO,4,2,3000
COLISEO MEDPLUS,4,1,650
HOTEL HILTON CARTAGENA,4,1,1350
RIVANA BUSINESS PARK,4,3,100
TEATRO COLEGIO SAN FELIPE NERI - PASTO,4,2,1126
TEATRINO MUNICIPAL  ENRIQUE BUENAVENTURA,4,4,206
SALON JUMBO COUNTRY CLUB,4,2,1747
TEATRO ESTUDIO QUINTA PORRA,4,4,80
PUERTA DE ORO BARRANQUILLA - LA EXPLANADA,4,1,5550
PUERTA DE ORO BARRANQUILLA,4,1,6780
PARQUE DE LA 93,4,1,240
PARQUE MUSEO EL CHICO,4,3,6000
LA CENTRAL - CALI,4,4,81
LA CUADRA PARED GASTRO BAR - CALLE 44 # 50-28,4,4,80
DIAMANTE DE SOFTBOL,4,1,6624
LAS PALMAS CENTRO DE EVENTOS,4,1,1068
CASA BALI - ZONA E,4,1,1100
AUDITORIO DE LA FUNDACION BATUTA CALDAS - MANIZALES,4,4,250
AUDITORIO CAMARA DE COMERCIO SOGAMOSO,3,3,466
TEATRO SANTAFE - BOGOTA,3,1,356
MONUMENTO A LA MADRE TIERRA,3,3,2500
MOYS RESTAURANTE BAR,3,2,525
CINARUCO BAR - CRA 14 NO 24A -15 - YOPAL,3,3,300
KABALA BAR - MANIZALES,3,3,100
PARQUE RECREATIVO COMFENALCO GUAYABAL,3,3,8000
PARQUE EL NOGAL,3,3,2000
SALA: TALLER DE LA IMAGEN,3,3,15
"TEATRO BELARTE - CRA 7 #152- 54, BOGOTA",3,1,239
AUDITORIO ZEA MAYZ - CRA 7 # 15- 51 CHIA,3,2,720
TEATRO ECCI,3,1,609
AVCIRCUNVALAR,3,3,1000
HOTEL GRAND GHL - CRA 39C #19C 15 VILLAVICENCIO,3,2,1000
EL CUBO COLSUBSIDIO,3,1,624
EL CAMPINCITO,3,1,14000
CENTRO INTERACTIVO MALOKA,3,3,472
AUDITORIO SKANDIA,3,1,248
AUDITORIO MARIE POUSSEPIN,3,3,878
CLUB DE LOS ASADOS - FINCA DE RIGO,3,1,402
FUNDACION ESCENICA CALI TEATRO,3,3,150
COLECTIVO TEATRAL INFINITO - CALI,3,3,65
TEATRO IMPERIAL  CRA 26 NO 14 - 59  PASTO,3,2,518
COLISEO ARENA DE SAL,3,1,2306
"COPA AMERICA - LEVI’S STADIUM, SANTA CLARA, CALIFORNIA",3,1,100
TEATRO LA MASCARA - CRA 10 # 3-40,3,3,103
TEATRO LAURELES,3,3,242
TEATRO LA SALA,3,3,120
HACIENDA SAN RAFAEL,3,3,1000
"HACIENDA FIZEBAD, EL RETIRO",3,3,1500
CENTRO DE CONVENCIONES - CL 26 NTE #11-21,3,1,1200
CENTRO DE FELICIDAD SEDE CHAPINERO,3,3,12
CLUB CAMPESTRE DE VALLEDUPAR,3,3,1200
HANGAR PARK,3,1,7056
HOTEL BARRANQUILLA PLAZA,3,2,300
AUDITORIO UNIVERSIDAD SANTO TOMAS,3,1,446
TEATRO MEXICO - CL 22 #5-85 BOGOTA,3,1,1286
PARQUE MANUEL MURILLO TORO,2,1,1200
CENTRO COMERCIAL PLAZA CLARO,2,2,118
PARQUE LA MARINA,2,2,2000
CENTRO CULTURAL HECTOR POLANIA SANCHEZ - PITALITO HUILA,2,2,160
TEATRO MUNICIPAL SUA,2,1,447
UNIVERSIDAD DISTRITAL - FACULTAD DE ARTES ASAB,2,2,20
AUDITORIO UIS SEDE BARBOSA,2,2,232
ESTADIO METROPOLITANO CIUDAD DE ITAGNI,2,1,7600
AUDITORIO MAYOR CARLOS GOMEZ ALBARRACIN - B/MANGA,2,2,780
TEATRO JUAN DE DIOS ARANZAZU - LA CEJA,2,1,484
COLEGIO BURECHE - KM 2 VIA GAIRA,2,2,700
EL GRAN CAFE - PEREIRA,2,2,100
EL TEMPLO DEL ROCK - CRA 44 #74-05 B/QUILLA,2,2,100
HYATT PLACE,2,2,96
MALECON TURISTICO RIO MAGDALENA,2,1,550
KRUDA DISCO BAR - CRA 56 4B 57,2,1,152
NEOMUNDO CENTRO EVENTOS Y CONVENCIONES,2,2,2000
PLATAFORMA ZOOM,2,2,50
MEZCAL MEXICAN CANTINA - BOGOTA,2,1,500
MBS THEATER,2,1,880
CASA DEL CARNAVAL & VIA 40,2,2,500
"CASA DE LA CULTURA ""LUCELLY GARCIA DE MONTOYA"" - CALARCA",2,2,320
AVENIDA SANTANDER #59-10 - MANIZALES,2,2,100
TEATRO BELARTE - AG,2,1,189
TEATRO CASA DE LA CULTURA CHINCHINA - CALDAS,2,2,170
BORO ROOM,2,2,700
BARRIO FINO - CALLE 26 # 43G-30  MEDELLIN,2,2,150
PLAZOLETA CENTRO COMERCIAL GRAN ESTACION,2,2,220
HOTEL OBELISCO CALI,2,2,10
HOTEL LA FONTANA,2,2,115
HOTEL DANN CARLTON,2,2,1400
PLAZA CULTURAL SANTAMARIA,2,2,8000
GUITARRA & COFFEE - BARRIO LAURELES,2,2,90
CENTRO DE CONVENCIONES META HOTEL GHL,2,1,1000
AUDITORIO MAYOR UNAB AV 42 NO 48-11 - B/MANGA,2,2,796
AUDITORIO HOTEL BACHUE,2,2,216
TEATRO TEOFILO CARVAJAL POLANIA - CLL 7 NO 6A - 65,2,2,160
TEATRO UNIVERSIDAD CES,2,1,503
VIA 40,2,2,181
CENTRO COMERCIAL MAYORCA,2,1,12000
AUDITORIO LUCY TEJADA,2,1,392
CASA TEATRO EL POBLADO,2,2,200
CASA PARAMO - PASTO,2,2,70
AUDITORIO SOMOS CREADORES,2,2,1000
UNIVERSIDAD DE IBAGUE,2,2,300
