site,type_site,confianza,aforo_max,funciones,fecha_clasificacion,fuente,modelo_llm
TEATRO LAS BETHLEMITAS - CARRERA 43 # 17 A 34,teatro,0.95,1477,6,2026-09-24,reglas_heuristicas,
POLIDEPORTIVO SUR DE ENVIGADO - FERIA DE FLORES 2024,parque_aire_libre,0.9,21873,1,2026-09-24,reglas_heuristicas,
TEATRO LYCEE FRANÇAIS LOUIS PASTEUR - BOGOTA,teatro,0.95,236,15,2026-09-24,reglas_heuristicas,
ESTADIO HERNAN RAMIREZ VILLEGAS,estadio_abierto,0.985,40124,1,2026-09-24,reglas_heuristicas,
COLISEO BERNARDO CARABALLO,arena_cubierta,0.91,600,14,2026-09-24,reglas_heuristicas,
ESTADIO SIERRA NEVADA,estadio_abierto,0.985,20222,1,2026-09-24,reglas_heuristicas,
CENTRO CULTURAL GIMNASIO MODERNO,teatro,0.985,586,8,2026-09-24,reglas_heuristicas,
MUNDO AVENTURA,parque_aire_libre,0.985,5181,2,2026-09-24,reglas_heuristicas,
"TEATRO EL ENSUEO - TV 70 D # 60 - 90 SUR, BOGOTA (GA)",teatro,0.985,1100,7,2026-09-24,reglas_heuristicas,
CLUB COMFAMILIAR LOS LAGOS,bar_club,0.915,10204,2,2026-09-24,reglas_heuristicas,
EXPOFUTURO - PEREIRA,centro_eventos_carpa,0.985,4920,5,2026-09-24,reglas_heuristicas,
ESTADIO FRANCISCO RIVERA ESCOBAR - PALMIRA,estadio_abierto,0.985,12538,3,2026-09-24,reglas_heuristicas,
ESTADIO DE BEISBOL LA ESPERANZA,estadio_abierto,0.985,9593,1,2026-09-24,reglas_heuristicas,
CENTRO NACIONAL DE LAS ARTES - SALA TERESITA GOMEZ,teatro,0.985,120,12,2026-09-24,reglas_heuristicas,
AUTODROMO DE TOCANCIPA,parque_aire_libre,0.985,15000,6,2026-09-24,reglas_heuristicas,
AUDITORIO PALACIO DE LA PROCLAMACION,auditorio,0.93,250,3,2026-09-24,reglas_heuristicas,
PLAZA DE TOROS CAAVERALEJO - CALI,parque_aire_libre,0.895,7340,1,2026-09-24,reglas_heuristicas,
MALECON - CALLE 72,parque_aire_libre,0.895,1997,3,2026-09-24,reglas_heuristicas,
SKYCENTER CENTRO DE EVENTOS - MEDELLIN,centro_eventos_carpa,0.925,2800,3,2026-09-24,reglas_heuristicas,
TEATRO GUILLERMO MATERON - PALMIRA,teatro,0.95,401,3,2026-09-24,reglas_heuristicas,
PLAZA DE TOROS MARRUECOS PUENTE DE PIEDRA,parque_aire_libre,0.895,2526,1,2026-09-24,reglas_heuristicas,
TEATRO CAJAMAG - CLL 23 # 7 78 SANTA MARTA,teatro,0.95,834,3,2026-09-24,reglas_heuristicas,
BAR BABA YAGA TASCA - BUCARAMANGA,bar_club,0.915,120,12,2026-09-24,reglas_heuristicas,
LOURDES MUSIC HALL  - BOGOTA,bar_club,0.985,2848,4,2026-09-24,reglas_heuristicas,
PARQUE NORTE - CANCHA CINCUENTENARIO (UNIDAD DEP),parque_aire_libre,0.985,11000,1,2026-09-24,reglas_heuristicas,
TEATRO QUIMERA,teatro,0.95,100,10,2026-09-24,reglas_heuristicas,
UNIVERSIDAD EAN - CARRERA 11 # 78-47,auditorio,0.985,4800,5,2026-09-24,reglas_heuristicas,
AUDITORIO MARIO LASERNA - U LOS ANDES,auditorio,0.93,492,5,2026-09-24,reglas_heuristicas,
AUDITORIO UNIVERSIDAD EAN,auditorio,0.93,503,10,2026-09-24,reglas_heuristicas,
AUDITORIO MUNICIPAL DE MOSQUERA,auditorio,0.93,686,4,2026-09-24,reglas_heuristicas,
TEATRO JORGE ARANGO TAMAYO - CHIA,teatro,0.95,1199,5,2026-09-24,reglas_heuristicas,
TEATRO BERNARDO ROMERO LOZANO,teatro,0.95,125,10,2026-09-24,reglas_heuristicas,
PLAZA DE TOROS - BUCARAMANGA,parque_aire_libre,0.895,15200,1,2026-09-24,reglas_heuristicas,
ESTADIO HERMIDES PADILLA,estadio_abierto,0.985,10390,1,2026-09-24,reglas_heuristicas,
TEATRO ASTOR PLAZA 2,teatro,0.985,42,10,2026-09-24,reglas_heuristicas,
VIA 40 (34-39),parque_aire_libre,0.885,2785,9,2026-09-24,reglas_heuristicas,
VIA 40 (27-28),parque_aire_libre,0.885,1201,9,2026-09-24,reglas_heuristicas,
VIA 40 (29-31),parque_aire_libre,0.885,1394,9,2026-09-24,reglas_heuristicas,
VIA 40 (3-4),parque_aire_libre,0.885,1201,9,2026-09-24,reglas_heuristicas,
VIA 40 (32-33),parque_aire_libre,0.885,1201,9,2026-09-24,reglas_heuristicas,
VIA 40 (25-26),parque_aire_libre,0.885,1201,9,2026-09-24,reglas_heuristicas,
VIA 40 (21-22),parque_aire_libre,0.885,1201,9,2026-09-24,reglas_heuristicas,
VIA 40 (19-20),parque_aire_libre,0.885,1201,9,2026-09-24,reglas_heuristicas,
VIA 40 (14),parque_aire_libre,0.885,601,9,2026-09-24,reglas_heuristicas,
VIA 40 (23-24),parque_aire_libre,0.885,1201,9,2026-09-24,reglas_heuristicas,
VIA 40 (12-13),parque_aire_libre,0.885,1441,9,2026-09-24,reglas_heuristicas,
VIA 40 (17-18),parque_aire_libre,0.885,1215,9,2026-09-24,reglas_heuristicas,
CASA AMARILLA - CENTRO DE EVENTOS,centro_eventos_carpa,0.925,2520,1,2026-09-24,reglas_heuristicas,
PARQUE DE EVENTOS - LA INDEPENDENCIA,parque_aire_libre,0.985,25860,1,2026-09-24,reglas_heuristicas,
JARDIN BOTANICO - MOR PRIDE,parque_aire_libre,0.895,11100,3,2026-09-24,reglas_heuristicas,
"FENIX BEACH CLUB, TIERRA  BOMBA",bar_club,0.915,400,4,2026-09-24,reglas_heuristicas,
VIA 40 MINI PALCOS,parque_aire_libre,0.885,5549,9,2026-09-24,reglas_heuristicas,
VIA 40 TRONCO DE PALCO,parque_aire_libre,0.885,1561,9,2026-09-24,reglas_heuristicas,
VIA 40 GARABATO,parque_aire_libre,0.885,1201,9,2026-09-24,reglas_heuristicas,
VIA 40 CUMBIA,parque_aire_libre,0.885,1201,9,2026-09-24,reglas_heuristicas,
VIA 40 (9),parque_aire_libre,0.885,319,9,2026-09-24,reglas_heuristicas,
VIA 40 - (41),parque_aire_libre,0.885,1201,9,2026-09-24,reglas_heuristicas,
VIA 40 (10-11),parque_aire_libre,0.885,1441,9,2026-09-24,reglas_heuristicas,
AUDITORIO LUIS A CALVO,auditorio,0.93,989,4,2026-09-24,reglas_heuristicas,
CENTRO DE CONVENCIONES G12,centro_eventos_carpa,0.985,10000,8,2026-09-24,reglas_heuristicas,
CIUDAD DEL RIO - DETRAS DEL MUSEO DE ARTE MODERNO,cine_sala_cultural,0.935,2000,8,2026-09-24,reglas_heuristicas,
TEATRO MALDONADO,teatro,0.95,985,4,2026-09-24,reglas_heuristicas,
PABELLON DE CRISTAL - GRAN MALECON,centro_eventos_carpa,0.985,1000,8,2026-09-24,reglas_heuristicas,
CANTINA LA 70 - CRA 70 #44B - 76 (MEDELLIN),bar_club,0.985,150,8,2026-09-24,reglas_heuristicas,
"PEQUEO TEATRO DE MEDELLIN, SALA RODRIGO SALDARRIAGA",teatro,0.95,390,4,2026-09-24,reglas_heuristicas,
TEATRO ZULIMA,teatro,0.95,704,6,2026-09-24,reglas_heuristicas,
COLISEO BICENTENARIO - BUCARAMANGA,arena_cubierta,0.985,6000,8,2026-09-24,reglas_heuristicas,
AVCHILACOS - PARQUE DEL CONSEJO,parque_aire_libre,0.895,504,2,2026-09-24,reglas_heuristicas,
CASA DEL TEATRO NACIONAL,teatro,0.95,150,7,2026-09-24,reglas_heuristicas,
JARDIN BOTANICO ORQUIDEORAMA - ANOTR,parque_aire_libre,0.985,15000,1,2026-09-24,reglas_heuristicas,
TEATRO SARMIENTO - CLL 27 # 23- 32 CENTRO TULUA,teatro,0.95,1177,1,2026-09-24,reglas_heuristicas,
TEATRO SANTA MARTA - CL 16 #5 - 10,teatro,0.95,804,4,2026-09-24,reglas_heuristicas,
LA SINAGOGA DEL TEATRO NACIONAL,teatro,0.95,60,6,2026-09-24,reglas_heuristicas,
TRANSPORTE LEGACY TOUR,otro,0.985,900,2,2026-09-24,reglas_heuristicas,
INDIGO - MOVISTAR ARENA,arena_cubierta,0.985,50,6,2026-09-24,reglas_heuristicas,
CLUB SOCIAL VALLEDUPAR,bar_club,0.915,1600,6,2026-09-24,reglas_heuristicas,
TEATRO EL GALPON UNIVERSIDAD DE CALDAS,teatro,0.95,100,6,2026-09-24,reglas_heuristicas,
COLISEO LAS BETHLEMITAS - CARRERA 13 #24-12,arena_cubierta,0.91,1700,2,2026-09-24,reglas_heuristicas,
"SAFARI DISCO CLUB, AV SANTANDER #63 - 122, MANIZALES",bar_club,0.985,754,2,2026-09-24,reglas_heuristicas,
CALLE 13 BAR -  BOGOTA,bar_club,0.915,760,1,2026-09-24,reglas_heuristicas,
COUNTRY CLUB BARRANQUILLA,bar_club,0.915,2480,1,2026-09-24,reglas_heuristicas,
AUDITORIO TEATRO COMPENSAR AV 68,teatro,0.95,250,5,2026-09-24,reglas_heuristicas,
ESTADIO DE FUTBOL - INMACULADA CONCEPCION,estadio_abierto,0.985,5874,1,2026-09-24,reglas_heuristicas,
AUDITORIO CASA DE LA CULTURA - CRA 2 NO 2-40 (SOPO),auditorio,0.93,180,5,2026-09-24,reglas_heuristicas,
PLAZA DE TOROS DE MANIZALES,parque_aire_libre,0.895,8700,1,2026-09-24,reglas_heuristicas,
ESTADIO MUNICIPAL DE VILLETA,estadio_abierto,0.985,194,1,2026-09-24,reglas_heuristicas,
BUTACO BAR,bar_club,0.915,50,5,2026-09-24,reglas_heuristicas,
TEATRO CRUZ ROJA - ARMENIA,teatro,0.95,493,5,2026-09-24,reglas_heuristicas,
EL SOL CENTRO DE EVENTOS,centro_eventos_carpa,0.925,761,1,2026-09-24,reglas_heuristicas,
TEATRO JUAN PABLO GONZALEZ POMBO - BOGOTA,teatro,0.95,535,1,2026-09-24,reglas_heuristicas,
TEATRO EL ENSUEO,teatro,0.985,719,3,2026-09-24,reglas_heuristicas,
COLISEO MAYOR DE IBAGUE,arena_cubierta,0.985,7151,1,2026-09-24,reglas_heuristicas,
SALON ESPEJOS TEATRO JORGE ELIECER GAITAN,teatro,0.985,25,5,2026-09-24,reglas_heuristicas,
DISCO MOVISTAR ARENA,arena_cubierta,0.985,1000,4,2026-09-24,reglas_heuristicas,
AUDITORIO SAN AGUSTIN - BOGOTA,auditorio,0.93,1025,2,2026-09-24,reglas_heuristicas,
CENTRO DE EVENTOS AUTOPISTA SUR - BOGOTA,centro_eventos_carpa,0.925,917,1,2026-09-24,reglas_heuristicas,
TEATRO MUSEO DEL ARTE - PEREIRA,teatro,0.95,330,4,2026-09-24,reglas_heuristicas,
VITA CENTRO DE EVENTOS,centro_eventos_carpa,0.925,300,4,2026-09-24,reglas_heuristicas,
ARENA LAS MEJORES PRODUCCIONES,arena_cubierta,0.91,2140,1,2026-09-24,reglas_heuristicas,
CLUB BELLAVISTA COLSUBSIDIO,bar_club,0.915,3000,2,2026-09-24,reglas_heuristicas,
COLISEO MEDPLUS,arena_cubierta,0.985,650,1,2026-09-24,reglas_heuristicas,
